EmpNum,LastName,FirstName,PhoneNumber,Status,Position,Supervisor,SSS,PHILHEALTH,TIN,PAGIBIG
10001,Garcia,Manuel III,966-860-270,Regular,Chief Executive Officer,N/A,44-4506057-3,820126853951,442-605-657-000,691295330870
10002,Lim,Antonio,171-867-411,Regular,Chief Operating Officer,Garcia  Manuel III,52-2061274-9,331735646338,683-102-776-000,663904995411
10003,Aquino,Bianca Sofia,966-889-370,Regular,Chief Finance Officer,Garcia  Manuel III,30-8870406-2,177451189665,971-711-280-000,171519773969
10004,Reyes,Isabella,786-868-477,Regular,Chief Marketing Officer,Garcia  Manuel III,40-2511815-0,341911411254,876-809-437-000,416946776041
10005,Hernandez,Eduard,088-861-012,Regular,IT Operations and Systems,Lim  Antonio,50-5577638-1,957436191812,031-702-374-000,952347222457
10006,Villanueva,Andrea Mae,918-621-603,Regular,HR Manager,Lim  Antonio,49-1632020-8,382189453145,317-674-022-000,441093369646
10007,San Jose,Brad,797-009-261,Regular,HR Team Leader,Villanueva  Andrea Mae,40-2400714-1,239192926939,672-474-690-000,210850209964
10008,Romualdez,Alice,983-606-799,Regular,HR Rank and File,San  Jose Brad,55-4476527-2,545652640232,888-572-294-000,211385556888
10009,Atienza,Rosie,266-036-427,Regular,HR Rank and File,San  Jose Brad,41-0644692-3,708988234853,604-997-793-000,260107732354
10010,Alvaro,Roderick,053-381-386,Regular,Accounting Head,Aquino  Bianca Sofia,64-7605054-4,578114853194,525-420-419-000,799254095212
10011,Salcedo,Anthony,070-766-300,Regular,Payroll Manager,Alvaro  Roderick,26-9647608-3,126445315651,210-805-911-000,218002473454
10012,Lopez,Josie,478-355-427,Regular,Payroll Team Leader,Salcedo  Anthony,44-8563448-3,431709011012,218-489-737-000,113071293354
10013,Farala,Martha,329-034-366,Regular,Payroll Rank and File,Salcedo  Anthony,45-5656375-0,233693897247,210-835-851-000,631130283546
10014,Martinez,Leila,877-110-749,Regular,Payroll Rank and File,Salcedo  Anthony,27-2090996-4,515741057496,275-792-513-000,101205445886
10015,Romualdez,Fredrick,023-079-009,Regular,Account Manager,Lim  Antonio,26-8768374-1,308366860059,598-065-761-000,223057707853
10016,Mata,Christian,783-776-744,Regular,Account Team Leader,Romualdez  Fredrick,49-2959312-6,824187961962,103-100-522-000,631052853464
10017,De Leon,Selena,975-432-139,Regular,Account Team Leader,Romualdez  Fredrick,27-2090208-8,587272469938,482-259-498-000,719007608464
10018,San Jose,Allison,179-075-129,Regular,Account Rank and File,Mata  Christian,45-3251383-0,745148459521,121-203-336-000,114901859343
10019,Rosario,Cydney,868-819-912,Regular,Account Rank and File,Mata  Christian,49-1629900-2,579253435499,122-244-511-000,265104358643
10020,Bautista,Mark,683-725-348,Regular,Account Rank and File,Mata  Christian,49-1647342-5,399665157135,273-970-941-000,260054585575
10021,Lazaro,Darlene,740-721-558,Probationary,Account Rank and File,Mata  Christian,45-5617168-2,606386917510,354-650-951-000,104907708845
10022,Delos Santos,Kolby,739-443-033,Probationary,Account Rank and File,Mata  Christian,52-0109570-6,357451271274,187-500-345-000,113017988667
10023,Santos,Vella,955-879-269,Probationary,Account Rank and File,Mata  Christian,52-9883524-3,548670482885,101-558-994-000,360028104576
10024,Del Rosario,Tomas,882-550-989,Probationary,Account Rank and File,Mata  Christian,45-5866331-6,953901539995,560-735-732-000,913108649964
10025,Tolentino,Jacklyn,675-757-366,Probationary,Account Rank and File,De Leon  Selena,47-1692793-0,753800654114,841-177-857-000,210546661243
10026,Gutierrez,Percival,512-899-876,Probationary,Account Rank and File,De Leon  Selena,40-9504657-8,797639382265,502-995-671-000,210897095686
10027,Manalaysay,Garfield,948-628-136,Probationary,Account Rank and File,De Leon  Selena,45-3298166-4,810909286264,336-676-445-000,211274476563
10028,Villegas,Lizeth,332-372-215,Probationary,Account Rank and File,De Leon  Selena,40-2400719-4,934389652994,210-395-397-000,122238077997
10029,Ramos,Carol,250-700-389,Probationary,Account Rank and File,De Leon  Selena,60-1152206-4,351830469744,395-032-717-000,212141893454
10030,Maceda,Emelia,973-358-041,Probationary,Account Rank and File,De Leon  Selena,54-1331005-0,465087894112,215-973-013-000,515012579765
10031,Aguilar,Delia,529-705-439,Probationary,Account Rank and File,De Leon  Selena,52-1859253-1,136451303068,599-312-588-000,110018813465
10032,Castro,John Rafael,332-424-955,Regular,Sales & Marketing,Reyes  Isabella,26-7145133-4,601644902402,404-768-309-000,697764069311
10033,Martinez,Carlos Ian,078-854-208,Regular,Supply Chain and Logistics,Reyes  Isabella,11-5062972-7,380685387212,256-436-296-000,993372963726
10034,Santos,Beatriz,526-639-511,Regular,Customer Service and Relations,Reyes  Isabella,20-2987501-5,918460050077,911-529-713-000,874042259378
